"Gene","waldStat","df","pvalue","FDR","meanLogFC"
"camk2n1a",15.4535335441336,8,0.0509039973583661,0.0824099052711238,1.00709451863348
"adarb1a",15.424371745337,8,0.0514004431754717,0.0831439804671018,1.46622701876587
"sema5ba",15.4040891487043,8,0.0517483483198122,0.0836367535971547,1.51977437791106
"smad6a",15.3640635669008,8,0.0524412526803262,0.0846858324403262,0.41254635406396
"gfra2a",15.3245758604967,8,0.0531331778977938,0.0857315800304136,0.853060638915857
"vim",15.2857444414835,8,0.0538217581067378,0.0867701905090277,1.31736978024266
"nedd9",15.1717219503661,8,0.0558911930852085,0.0900313968614234,0.698682261699734
"id2b",15.1582466225785,8,0.0561405146014559,0.0903577141753657,0.58821053016153
"lrrn1",15.144673295623,8,0.0563926774250449,0.0906880577891946,0.912938371267252
"hs2st1b",15.0776964824344,8,0.0576521914546153,0.0926364805334758,0.141232544828801
"si:ch73-335l21.4",14.9794319539529,8,0.059546628618371,0.0956010241854744,0.255644996630087
"nbeaa",14.8335679805635,8,0.0624635698496446,0.100200896696567,0.761135801496056
"CU138547.1",14.7852049149465,8,0.0634590659086478,0.101713411609798,1.32245657738882
"slc16a6a",14.7396076026209,8,0.0644108237794224,0.103153373956606,3.43497158667881
"acsl2",14.7138582806903,8,0.0649540056403449,0.103937162998996,2.51927094795481
"GALNTL6",14.7054947668445,8,0.065131327115387,0.104134702493005,1.31630381532474
"tafa5a",14.6529576483447,8,0.0662552970774316,0.105844205992294,4.04273065600969
"vaspa",14.5878260474622,8,0.0676731311218319,0.108019952484311,6.26230203211884
"slc8a2b",14.5825590954201,8,0.0677889796030151,0.108115592056624,1.43103307221139
"ntrk2a",14.572057089859,8,0.0680205115483968,0.108395423596909,1.34127213335696
"CABZ01067348.1",14.4978458496697,8,0.0696771272790795,0.110943893764795,0.521526037002473
"cbx7a",14.4914201867787,8,0.0698222712036541,0.111083498137172,0.622951221984376
"nr4a3",14.4227664459177,8,0.0713901918275515,0.113484573028501,0.552095545259473
"CR936518.2",14.3409663565887,8,0.0732998437394878,0.116424484756311,6.1485979118455
"BX276117.1",14.2858165524288,8,0.0746132248350571,0.118413270612615,1.07932807970035
"trpv4",14.2753684055662,8,0.0748644224979876,0.118714461598532,0.9995282438536
"igsf9bb",13.8861526313133,8,0.0847814933138566,0.134330021783348,1.63179890487012
"aoc2",13.7849120261533,8,0.0875467497544778,0.138597761896319,0.675981163214083
"rasgrp3",13.6269414977368,8,0.0920223815478117,0.14556404544347,0.490069588610625
"junbb",13.6222552019728,8,0.092158208410698,0.145659703072673,0.207148285965494
"pcdh19",13.6194953549054,8,0.0922382827483921,0.14566715731425,1.30515606037079
"fibina",13.5137708159512,8,0.0953526964019229,0.150462662975442,2.68289814010202
"magixa",13.4801541319426,8,0.0963623324265408,0.151931801452287,0.871266163302908
"BX005396.2",13.4166614429403,8,0.0982951231555307,0.154852871279251,0.429052395013686
"CT990561.1",13.3634147424962,8,0.0999423754673001,0.157319716431833,0.530687546549453
"bmp5",13.3411981559902,8,0.100636854268932,0.158284002686611,3.60718503515923
"fhod3b",13.2559543733449,8,0.103341220168707,0.162405348443993,1.88403319010619
