"Gene","waldStat","df","pvalue","FDR","meanLogFC"
"si:ch73-22o12.1",235.642440682332,8,0,0,0.905541095176907
"tuba8l",235.559768293461,8,0,0,0.460328285667784
"itga8",235.181777951288,8,0,0,1.07985195951738
"h2ax",234.711346709114,8,0,0,0.728650510401957
"anp32a",233.592251183122,8,0,0,0.407823475996626
"ttyh2",232.631570145488,8,0,0,0.812612304496036
"smarca4a",232.480267876819,8,0,0,0.591570991055503
"mibp",232.412127105465,8,0,0,1.59847662426113
"ahcy",232.248155390484,8,0,0,0.765967332115911
"sema3fa",231.939115780365,8,0,0,0.830704990331099
"glceb",230.126592555248,8,0,0,0.526354416789034
"nop10",229.613133692138,8,0,0,0.622901499230599
"hapln3",227.696453325347,8,0,0,2.31065997017824
"smarca5",227.243764421318,8,0,0,0.702473884459567
"angpt1",226.159697472189,8,0,0,1.30815440051247
"eif4g1a",226.070759847679,8,0,0,0.523109115368932
"ube2c",226.024513075796,8,0,0,1.42714918914552
"grin2bb",224.526551051955,8,0,0,2.93563039698112
"parp1",224.146995182475,8,0,0,0.743417065254083
"fgf10b",222.230288122731,8,0,0,1.82517273220095
"nhp2",221.898183941151,8,0,0,0.565038080512895
"gli2a",221.720942117218,8,0,0,3.22020595778442
"h2ax1",221.526372529464,8,0,0,0.649331020154562
"dut",220.183887751674,8,0,0,0.614837237680484
"hs6st3a",220.03377463274,8,0,0,13.7426463703773
"mad2l1",220.026978148052,8,0,0,1.77034508613321
"supt16h",219.322045872701,8,0,0,0.503974235715067
"BX284638.2",218.898542192402,8,0,0,0.722680562476063
"c1qbp",218.333353453336,8,0,0,0.549724783680914
"asf1ba",218.063850656504,8,0,0,0.991196441924355
"kpna2",216.861272846011,8,0,0,1.78649061520611
"bach2b",216.849103248347,8,0,0,1.40408816100111
"snrpg",216.378900058784,8,0,0,0.363229882596711
"pxdn",216.301491013804,8,0,0,0.462710714747438
"hist1h2a6",215.850765813583,8,0,0,2.01017319007263
"si:dkey-261m9.12",215.309358085484,8,0,0,1.93123995501062
"dgkg",215.207281056339,8,0,0,0.746126748999162
"kif20a",214.588882092003,8,0,0,1.44861318250638
"serpinf1",213.74521730895,8,0,0,2.3964993110928
"cdk1",213.19451729921,8,0,0,1.79685104175399
"fen1",212.941744931948,8,0,0,0.731242136061627
"ssb",211.957454166726,8,0,0,0.633215924024887
"smc4",211.3684524701,8,0,0,0.833727581035398
"CABZ01005379.1",210.841635256342,8,0,0,0.841014853062303
"srgap1a",210.721855181348,8,0,0,0.786016491370318
