"Gene","waldStat","df","pvalue","FDR","meanLogFC"
"eps8b",3.10431095888005,8,0.927641803139731,1,2723.20041290688
"si:ch73-315f9.2",3.0641716403185,8,0.930266061793566,1,1.52648459962594
"scn1lab",3.05859710514694,8,0.930626573846699,1,0.648490792517896
"zgc:123103",3.05716238484936,8,0.930719202865359,1,2.97428979446299
"aldocb",3.04860283029771,8,0.931270499183626,1,0.279764013701495
"tnni1b",3.03627681989777,8,0.932060376484316,1,4.73321933449789
"pitx3",3.03498915830223,8,0.932142619489396,1,8.58376736244088
"bcl11ba",3.03357450091625,8,0.932232914105684,1,0.603552742029534
"adgrf3b",3.02372407434469,8,0.932859914441797,1,2.63882031562443
"FP102806.1",3.01708677447519,8,0.933280682882173,1,1.32954751360569
"syt6a",2.99707485241129,8,0.934540980041183,1,0.677218867152529
"alcama",2.9917271288826,8,0.934875638364404,1,0.24431847351711
"slc7a4",2.98697496730656,8,0.935172272655979,1,6.49419802585922
"spon1a",2.98405324687349,8,0.935354296651822,1,0.706990220092424
"si:ch73-139e5.4",2.98290488195854,8,0.935425766591762,1,1361.57555057572
"tnks1bp1",2.97789295158182,8,0.935737204553484,1,0.342142731586477
"CU929568.2",2.96141864997771,8,0.936755329711558,1,2.0965520434191
"cryba2b",2.95287211232162,8,0.937280138309677,1,6.13726709125455
"CABZ01087025.3",2.92931950196804,8,0.938714450612655,1,3.01054211379913
"pdgfrl",2.89785692131492,8,0.940603001433544,1,6.56449046478073
"lzts3b",2.89045906508006,8,0.941042485231277,1,90.8168756559188
"BX322792.1",2.86900128251018,8,0.942307346713483,1,1330.89774630989
"vegfc",2.86191766588912,8,0.942721670577478,1,0.532863860428932
"st6galnac5a",2.83184068913575,8,0.944462984438801,1,0.566085935486848
"mmp17b",2.80049566289365,8,0.94624679598388,1,0.598445100951474
"gp1bb",2.78821854958622,8,0.946936850914247,1,1.23628758630465
"CT025912.2",2.78691068812659,8,0.94701007490124,1,4.66979639006288
"mc5ra",2.78055342379754,8,0.947365216506567,1,2.2565356646987
"glis1b",2.7778639212694,8,0.947515069937482,1,2.09667439509041
"RNF224",2.77011813770731,8,0.947945343563775,1,2.26665540623843
"serp2",2.7578748520882,8,0.948621496383407,1,26.4748383451336
"ntn1a",2.74553599005316,8,0.949298022118193,1,0.37194974127875
"rgs7bpa",2.73313463047092,8,0.949973007585734,1,1.82879086261918
