"Gene","waldStat","df","pvalue","FDR"
"CR354549.3",NA,NA,NA,NA
"stx11b.1",NA,NA,NA,NA
"gfra1b",NA,NA,NA,NA
"aste1a",NA,NA,NA,NA
"ppp2r2ca.1",NA,NA,NA,NA
"guca1c",NA,NA,NA,NA
"clrn2",NA,NA,NA,NA
"mpeg1.2",NA,NA,NA,NA
"cyp2x9",NA,NA,NA,NA
"mfsd6b",NA,NA,NA,NA
"dmrt2b",NA,NA,NA,NA
"mpeg1.1",NA,NA,NA,NA
