"Gene","waldStat","df","pvalue","FDR","meanLogFC"
"gse1",80.4165975797144,8,4.03010957938932e-14,2.94437229544425e-13,0.379265657001359
"g2e3",80.3103471434143,8,4.22994972382185e-14,3.07632707187043e-13,1.18068807479992
"tnika",80.1788222013176,8,4.49640324973188e-14,3.25531456994164e-13,1.27272426990986
"macf1a",80.0563200318098,8,4.76285677564192e-14,3.43268956803021e-13,0.61308994875938
"znf827",79.9445703419148,8,5.01820807130571e-14,3.60050803322383e-13,0.971974848632081
"adgrl3.1",79.2979880719245,8,6.77236045021345e-14,4.83740032158104e-13,1.14526765718937
"slc4a4b",79.22544675676,8,6.99440505513849e-14,4.9737991503207e-13,2.96040748990565
"CU457819.1",79.0897756125779,8,7.4495964952348e-14,5.27405061609543e-13,1.50065974729765
"hsp90b1",79.0160603218768,8,7.71605002114484e-14,5.43862556556464e-13,0.521095545845824
"im:7151449",78.9099021114509,8,8.10462807976364e-14,5.68745830158852e-13,1.27890598436433
"zgc:113983",78.7946355997663,8,8.54871728961371e-14,5.97290290977377e-13,2.79685812619881
"thrab",78.7175414079116,8,8.85957973650875e-14,6.16318590365826e-13,1.07174753923381
"numa1",77.9153629671423,8,1.28341781646668e-13,8.88944090751591e-13,0.724335485054387
"nasp",77.905972198797,8,1.28896893158981e-13,8.88944090751591e-13,0.744612704931574
"si:ch73-22o12.1",77.8326371557299,8,1.33337785257481e-13,9.15624276446223e-13,0.617195463347436
"hist1h4l.14",77.523610696909,8,1.53876911213047e-13,1.05214982026015e-12,1.19393351944715
"fgf10b",77.3355420626702,8,1.67754699020861e-13,1.14215965290799e-12,1.7196704354204
"si:ch211-244o22.2",77.219235488344,8,1.77080572427712e-13,1.19697969304734e-12,1.22948811339764
"pcdh17",77.2168735395691,8,1.77302617032637e-13,1.19697969304734e-12,1.25819398625404
"dcbld1",77.167532601575,8,1.81299419921288e-13,1.21881962972295e-12,0.807182683749225
"slc7a5",76.7706448718633,8,2.17825757431456e-13,1.4582477484951e-12,0.762030504206598
"si:ch211-152c2.3",76.7588774390572,8,2.19047002758543e-13,1.46031335172362e-12,0.717217314614469
"ppp1r1c",76.696818994457,8,2.25375273998907e-13,1.49626737924585e-12,1.17671746468014
"fen1",76.6408736430411,8,2.31370478331883e-13,1.52972217078931e-12,0.819012346273413
"FP236630.1",76.6252133422888,8,2.3303581286882e-13,1.53439218349841e-12,1.51845377186658
"gars1",75.5851469250165,8,3.76587649952853e-13,2.46942721280559e-12,0.62500429955918
"bmp1a",75.5227291395587,8,3.87578857896642e-13,2.53112723524338e-12,1.0767247333487
"mcm3",75.502509395775,8,3.91242593877905e-13,2.54466727725467e-12,0.806608515057564
"GNAZ",74.8375744316306,8,5.31574784190525e-13,3.44339941176049e-12,5.10083577133058
"strbp",74.2755171512501,8,6.88782364477447e-13,4.42733756840079e-12,0.251933780528012
"pdlim5b",74.2750824275384,8,6.89004409082372e-13,4.42733756840079e-12,0.610780969058309
"si:ch211-113a14.11",74.1752127899741,8,7.21422921401427e-13,4.61710669696913e-12,1.45761965106477
"tenm4",74.0899351833525,8,7.50288720041681e-13,4.77854087868821e-12,2.53683310349561
"adgrb1a",74.0831826990612,8,7.52620188393394e-13,4.77854087868821e-12,2.00800901282677
"ctcf",73.5861802672425,8,9.46132061585558e-13,5.98344386773476e-12,0.457436945312928
"atrnl1a",72.932484345862,8,1.27831079055341e-12,8.05235143655688e-12,1.79431146427692
"tanc2a",72.9186399168432,8,1.28641541863317e-12,8.07162615612969e-12,0.46900571555343
"atp8a1",72.9008429188223,8,1.29707355966957e-12,8.10670974793481e-12,0.608673998132298
"kmt5ab",72.4669432443079,8,1.58351110002286e-12,9.85843486395555e-12,1.15745466429221
"mcm5",72.2672644849979,8,1.73572267669897e-12,1.07641716384432e-11,0.85969870671274
"cd82a",72.1598175626744,8,1.82354131794682e-12,1.12651201108684e-11,1.06731252005958
"tuba1b",71.8900541303334,8,2.06423766968555e-12,1.26665812789571e-11,0.455450286500802
"cbfb",71.8879191838043,8,2.06623607112988e-12,1.26665812789571e-11,0.79021378330348
"rrm2.1",71.6658760938787,8,2.28816965375245e-12,1.39735551374195e-11,1.27105197712235
"ckap5",71.3962646480471,8,2.5898172495431e-12,1.57555422025436e-11,0.491234156138144
"mcm2",71.255855798183,8,2.76223488526739e-12,1.6740817486469e-11,0.617662703091895
"ptprub",71.1341112325899,8,2.92099677778879e-12,1.76362069602342e-11,0.637092792890165
"kif14",70.8268265887547,8,3.36342065310191e-12,2.02311016727935e-11,1.67191089544653
