"Gene","waldStat","df","pvalue","FDR"
"pbx1b",8.31057174847303,5,0.139929656293341,0.38713921017945
"bcl2a",8.30849936537478,5,0.140033225646773,0.38713921017945
"havcr1",3.90764777859118,2,0.141731070137501,0.391288142173768
"unga",8.26481179537299,5,0.142232573869949,0.392127304349789
"lgmn",8.25943221386608,5,0.142505520510071,0.392334893498599
"gli2a",8.25482876413175,5,0.142739459637065,0.392434663960629
"dkk1a",3.87956517281007,2,0.143735196366628,0.394625677438114
"apof",8.20690355373991,5,0.145195381515962,0.397689640483412
"hspa9",8.20300747865424,5,0.145396683031448,0.397689640483412
"zgc:158423",3.85581510795002,2,0.145452231229701,0.397689640483412
"spdl1",8.19732906960963,5,0.145690519544263,0.397793234243964
"igfbp5b",8.19129654121363,5,0.146003260405583,0.398099549320168
"ror2",3.8425293994431,2,0.146421665543136,0.398692738138717
"tuba8l",8.1782428733039,5,0.146682043704105,0.398854598291298
"chl1a",8.15286707816224,5,0.148009622175771,0.401913953514234
"epha7",8.13608977023179,5,0.14889322150297,0.403760990004638
"ndst2b",8.12954883918757,5,0.149238978400829,0.404146483118206
"rgs6",3.78027589927303,2,0.151050969972644,0.408302421958613
"BX323575.1",3.77850168554242,2,0.151185027778126,0.408302421958613
"pcdh17",8.08576958193832,5,0.15157161588561,0.408415287357552
"nop56",8.08411330508373,5,0.151660497992003,0.408415287357552
"zgc:174855",3.76944461138878,2,0.151871227349285,0.408415287357552
"e2f8",8.0768685721545,5,0.152049822346212,0.408415287357552
"vwde",3.7611940769362,2,0.152499030784232,0.409068346090135
"gfra4a",3.75356473121241,2,0.153081875672936,0.410077629164343
"qkib",5.25991320932515,3,0.153724814289226,0.411244954668617
"csgalnact1a",3.74213745566347,2,0.153959033555292,0.411317202701555
"colec12",7.99615918514714,5,0.156447429486368,0.417403424100055
"chaf1b",7.99053215273385,5,0.156758191698146,0.417671155061504
"tmtc2b",7.9854576196588,5,0.157038909884963,0.417858225364145
"oaz2a",7.95518300313923,5,0.158722937777114,0.421452748613914
"bcl11aa",7.94978954114289,5,0.159024620481109,0.421452748613914
"BX072554.1",3.67650177224034,2,0.159095458955957,0.421452748613914
"col12a1a",7.944832670315,5,0.159302329565829,0.421452748613914
"he1.2",3.67203230422795,2,0.159451392548639,0.421452748613914
"gpatch4",7.93835530401273,5,0.15966587075302,0.421458448729714
"egr1",7.92850460840124,5,0.160220145254242,0.422359878259854
"espl1",7.89745308784505,5,0.161978479478013,0.425263249826984
"GRM7",7.89723802416846,5,0.161990716924084,0.425263249826984
"st6gal2a",7.89485891819305,5,0.162126146080979,0.425263249826984
"trpv4",7.89285167612321,5,0.162240484823201,0.425263249826984
"iqgap3",7.89018114198279,5,0.162392717062395,0.425263249826984
"dnajc9",7.87548636912361,5,0.163232640924379,0.426715721226779
"larp4ab",7.86261228094402,5,0.163971644528571,0.426715721226779
"si:dkey-65b13.1",3.61605492396332,2,0.163977269400299,0.426715721226779
"si:ch211-250c4.4",7.86211779228262,5,0.164000088096923,0.426715721226779
"si:ch73-380l10.2",7.86173318346103,5,0.164022214254928,0.426715721226779
"gria4b",7.84731639682684,5,0.164853497514604,0.428317005977081
"kirrel1b",7.8145330081642,5,0.166757642034138,0.432697933905573
"ncapd2",7.80404752353597,5,0.16737073872493,0.433417270972815
"si:ch211-160j14.3",7.80232646204293,5,0.167471560118967,0.433417270972815
"rasl12",7.78036691370419,5,0.168762666957169,0.436189966028621
"sinhcafl.1",7.76385166907643,5,0.169739432710329,0.4381440493238
"pappab",7.75581017573814,5,0.170216827979926,0.438805718883316
"tyms",7.74339001808111,5,0.170956485659785,0.440140887204504
"macf1a",7.72410567854911,5,0.17211051552153,0.442538048329323
"ckap5",7.70283959411904,5,0.173391053655601,0.445088759827881
"sec14l8",7.69989471816064,5,0.173569036007575,0.445088759827881
"slc2a1b",7.69648671675828,5,0.173775208497032,0.445088759827881
"si:ch211-161h7.4",7.68991475323433,5,0.174173395693416,0.445533750581739
"psd2",7.6846702197089,5,0.17449172854896,0.445773592238979
"kcnd1",6.32979486091121,4,0.175835605223468,0.448629404072731
"kalrnb",7.65096216030561,5,0.176549922761216,0.449873679949952
"SIPA1",7.64372821920085,5,0.176994379991304,0.45042800549069
"slc4a11",7.63216215565697,5,0.177707037110744,0.451596769204957
"traf4a",7.62889740913555,5,0.177908651646487,0.451596769204957
"wdr43",7.60759914647175,5,0.179228836119595,0.4539114609675
"lcp1",7.60211430058222,5,0.179570198906508,0.4539114609675
"ppp2r5b",7.60080883010138,5,0.179651531593247,0.4539114609675
"dcbld1",7.59862200228861,5,0.179787846127943,0.4539114609675
"si:dkey-111i23.1",3.42999812911781,2,0.179963889058651,0.4539114609675
"osbpl10b",7.5869115556238,5,0.180519345852651,0.454734646595828
"hsp70l",7.57603089888926,5,0.181201337000126,0.455864593281123
"trabd2b",7.57243499887579,5,0.181427218484679,0.455864593281123
"adra1aa",7.55931965131164,5,0.182253158245198,0.457360959692437
"pola1",7.54988069717202,5,0.182849601914645,0.457542259154914
"enpp1",7.54843368816744,5,0.182941187915173,0.457542259154914
"si:ch73-22o12.1",7.54723789670048,5,0.183016903661966,0.457542259154914
"csf3r",3.39321241770978,2,0.183304567028009,0.457684988113959
"tgfbr3",7.51376791098248,5,0.185147266992938,0.461697911839017
"si:ch73-208g10.1",7.50674804902219,5,0.185596806560959,0.461697911839017
"pcdh15a",7.50654944870546,5,0.185609538361479,0.461697911839017
"si:ch211-175m2.5",3.36212453197936,2,0.186176102419117,0.462527613644489
"si:dkey-102m7.3",7.47027509653926,5,0.187947764618747,0.466345390960266
"apoa2",3.33920353445403,2,0.188322046718673,0.466690715026925
"shcbp1",7.43114888897679,5,0.190498429484806,0.471495489435585
"fat3a",7.42514608253404,5,0.190892398653875,0.471882205887849
"cited1",7.40842906028454,5,0.191993270701493,0.473129430407286
"nusap1",7.40744891850149,5,0.192057986497627,0.473129430407286
"gng13b",7.40663107827016,5,0.192112000457568,0.473129430407286
"pcdh19",7.38682860910864,5,0.19342386425333,0.474516794012495
"rtn4r",3.28542641617028,2,0.193454447418352,0.474516794012495
"ZNF423",7.38605036509497,5,0.193475578757107,0.474516794012495
"hist1h2a3.4",7.38239287440583,5,0.193718779998534,0.474516794012495
"tcf12",7.38011183213764,5,0.193870589392511,0.474516794012495
"arl5c",7.36974981248102,5,0.194561504018524,0.475621410685677
"rassf7a",6.00032093568627,4,0.199124307083004,0.486176813726646
"lect2l",3.21112950768354,2,0.200776133792846,0.488877466447639
"sytl3",7.27345535309471,5,0.201084445115932,0.488877466447639
"cux2b",7.2721705100537,5,0.201172737095243,0.488877466447639
"prex2",7.27154749136449,5,0.201215561757038,0.488877466447639
"kif18a",7.26262657119556,5,0.201829622297888,0.489769926969814
"mmp9",3.19164640786619,2,0.202741562136936,0.491124399337241
"rbpjb",7.2473829730907,5,0.202882623403797,0.491124399337241
"ntrk3a",7.23532023917872,5,0.203719236464968,0.492548945655253
"MAGI3",7.21646882102481,5,0.205032607910397,0.494348070954167
"agtr1b",7.21433224631836,5,0.20518191940631,0.494348070954167
"hpse2",3.16595491656748,2,0.205362728048188,0.494348070954167
"MAN1C1",7.2103633757748,5,0.20545952571143,0.494348070954167
"tacc3",7.18191911190611,5,0.207458520363243,0.498553466006099
"mef2ab",7.17573210366106,5,0.207895526439316,0.498999540486145
"vegfc",3.13220729777716,2,0.208857380711968,0.5007027786392
