"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.0019244625170237,0.679053352471566,0.027,0.012,1,"LEC","zc3h7ba"
0.0019277450920137,0.0934523577516114,0.29,0.218,1,"LEC","ppp1cab"
0.00193223765115769,0.192477453659064,0.091,0.059,1,"LEC","eif2b3"
0.00193428912432712,0.547163021439332,0.04,0.021,1,"LEC","vps8"
0.00193640660002417,1.12093388794452,0.014,0.004,1,"LEC","lama1"
0.00193763881119787,0.501977144315268,0.049,0.027,1,"LEC","mif4gda"
0.00193914539627563,0.140098646678323,0.175,0.125,1,"LEC","exoc1"
0.00196385433984996,0.13960125673538,0.361,0.282,1,"LEC","elob.1"
0.00198007919439297,0.111707241408636,0.245,0.186,1,"LEC","ubqln4"
0.00198860194769993,0.585302962100887,0.047,0.026,1,"LEC","zgc:63587"
0.00200092017999541,0.147179982796839,0.143,0.1,1,"LEC","zcchc17"
0.00200800908964253,0.0778671988494561,0.157,0.11,1,"LEC","add1"
0.00200919298343907,0.797418075354962,0.032,0.015,1,"LEC","brd2b"
0.00201584022330378,0.462737474799598,0.056,0.033,1,"LEC","kptn"
0.00201914659488589,0.216338239901307,0.11,0.073,1,"LEC","MARK4"
0.00201971355025185,0.170314571931926,0.151,0.106,1,"LEC","srpk1a"
0.00202303845405826,1.3052948567519,0.02,0.008,1,"LEC","prrx1b"
0.0020278736366176,0.0720747688025853,0.712,0.59,1,"LEC","ier2a"
0.00203304473991202,0.269106120843708,0.12,0.083,1,"LEC","raph1b"
0.00203759964165235,0.327084104853314,0.081,0.051,1,"LEC","amer2"
0.0020395239559654,0.704585011696213,0.03,0.014,1,"LEC","scarb1"
0.00204858074220847,0.0889877354541756,0.192,0.14,1,"LEC","rock2a"
0.00205111063094935,0.124583761429753,0.169,0.121,1,"LEC","chic2"
0.00205879157180912,-1.65115242279378,0.032,0.061,1,"LEC","nanos1"
0.00206381200443526,0.670185133981059,0.043,0.023,1,"LEC","si:ch211-154o6.2"
0.00206709251211366,0.113514514505791,0.299,0.231,1,"LEC","pfdn6"
0.00207007364070365,-0.576102571281118,0.271,0.302,1,"LEC","sept12"
0.00208678482599822,0.6350427803841,0.046,0.025,1,"LEC","ccdc84"
0.00209227405016793,0.269158151228215,0.131,0.091,1,"LEC","akt2l"
0.00210006394248698,-1.22958145022807,0.038,0.069,1,"LEC","ace"
0.00210350721547263,-5.44220414025919,0,0.014,1,"LEC","ifi46"
0.00210497887151266,0.189130912665593,0.113,0.076,1,"LEC","itga9"
0.00210518552226693,-2.65286017112905,0.002,0.017,1,"LEC","syt14b"
0.00210908629518421,-1.43230767320546,0.015,0.039,1,"LEC","CR385050.1"
0.0021107230431648,0.547918103690676,0.052,0.029,1,"LEC","smg9"
0.00211875742753923,0.160889323942607,0.175,0.128,1,"LEC","egr1"
0.00211959869280369,-1.11796672609585,0.056,0.091,1,"LEC","tgm1l1"
0.00212662663241385,-0.572712712548043,0.306,0.338,1,"LEC","hbegfa"
0.00213809802464876,-0.0598054699694737,0.143,0.099,1,"LEC","trim8b"
0.0021485806414675,-1.57002457993875,0.021,0.047,1,"LEC","creg2"
0.00214981478272683,0.278450340996311,0.123,0.085,1,"LEC","ggnbp2"
0.00216039987485266,-0.85003776014605,0.123,0.164,1,"LEC","il13ra1"
0.00216281407533468,0.531306100519357,0.055,0.032,1,"LEC","acsm3"
0.00216284703300357,0.190363136117629,0.133,0.092,1,"LEC","cpdp"
0.00216311260764656,0.0258066382296295,0.265,0.199,1,"LEC","si:ch211-22i13.2"
0.00217761878438211,0.588245090188095,0.04,0.021,1,"LEC","zhx2a"
0.00217981952240783,-3.82538735816221,0.002,0.017,1,"LEC","crip3"
0.00218229117027153,1.10241051702125,0.017,0.006,1,"LEC","ppfia1"
0.00220245019664209,0.047925145316026,0.386,0.297,1,"LEC","ubap2a"
0.00220828598979012,0.411118143502801,0.081,0.052,1,"LEC","samm50"
0.002209545195704,0.202741373462136,0.154,0.11,1,"LEC","mkrn4"
0.00221610603507353,0.287420923511797,0.066,0.039,1,"LEC","cinp"
0.00221804383328622,0.688657014280719,0.053,0.031,1,"LEC","crlf1a"
0.00223871192297629,0.267791623661972,0.085,0.054,1,"LEC","fam114a1"
0.00223872112407433,-1.62208378116878,0.018,0.043,1,"LEC","mrto4"
