"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.17738582788436e-12,0.42785395536932,0.421,0.241,1.73061127081948e-07,"LEC","sgms1"
7.22031669959823e-12,0.374434944133751,0.651,0.413,1.74096276260713e-07,"LEC","sart1"
7.33583366368e-12,0.756851760265588,0.171,0.07,1.76881621298652e-07,"LEC","kyat3"
7.41863647915012e-12,0.669674251025993,0.134,0.048,1.78878162785268e-07,"LEC","pop5"
7.44022768842039e-12,0.317582111809009,0.463,0.27,1.79398770023192e-07,"LEC","CABZ01088109.1"
7.46746848661075e-12,0.326074061641542,0.397,0.22,1.80055600149158e-07,"LEC","dhx38"
7.5951086411604e-12,0.282267501454294,0.446,0.253,1.83133259555659e-07,"LEC","cul4b"
7.64819365422936e-12,0.381037722012456,0.32,0.166,1.84413245390778e-07,"LEC","aamp"
7.69298000625518e-12,0.337172286048846,0.417,0.234,1.85493133910825e-07,"LEC","uchl3"
7.70182533496364e-12,0.240609439693213,0.335,0.175,1.85706412476643e-07,"LEC","rnf20"
7.79525317245813e-12,0.211551755594696,0.368,0.195,1.8795914449431e-07,"LEC","med21"
7.81729946451494e-12,0.364419247354853,0.267,0.131,1.88490724688384e-07,"LEC","slc11a2"
7.88560646032622e-12,0.329762665593942,0.378,0.207,1.90137742971386e-07,"LEC","knop1"
8.07867129769066e-12,1.47259604460723,0.062,0.012,1.94792922329917e-07,"LEC","zmiz1b"
8.34782915859926e-12,0.349874962749086,0.287,0.143,2.01282856672145e-07,"LEC","rai14"
8.41297422258349e-12,0.391003800155692,0.694,0.475,2.02853634454933e-07,"LEC","rtn4a"
8.41573034348554e-12,0.393148816481804,0.229,0.105,2.02920090042123e-07,"LEC","smarcc2"
8.43310874133745e-12,0.368634632737578,0.632,0.414,2.03339117971129e-07,"LEC","ndufs7"
8.45468684187531e-12,0.253266337242442,0.535,0.318,2.03859409131297e-07,"LEC","phf14"
8.45574404218191e-12,0.399731393008356,0.254,0.122,2.0388490034509e-07,"LEC","mars1"
8.54485472221868e-12,0.43720613644345,0.328,0.174,2.06033537062137e-07,"LEC","wapla"
8.71291235503959e-12,0.393445682411726,0.271,0.133,2.10085742704715e-07,"LEC","taf2"
8.79951036008188e-12,0.306309197041318,0.391,0.216,2.12173793802294e-07,"LEC","rap1ab"
8.86470038763818e-12,0.369633661902647,0.221,0.1,2.13745655746732e-07,"LEC","nabp1a"
8.91917572614625e-12,2.43054331035504,0.05,0.008,2.15059165108838e-07,"LEC","bora"
8.92720717741308e-12,0.330914851326068,0.498,0.293,2.15252819461784e-07,"LEC","palm1b"
9.03184978424725e-12,0.2276250339069,0.465,0.265,2.1777596199777e-07,"LEC","nedd8l"
9.0869833282342e-12,0.804627272597413,0.105,0.032,2.19105342010383e-07,"LEC","pdcd2"
9.24357975942016e-12,2.7421296234621,0.039,0.004,2.22881195159139e-07,"LEC","H3C3"
9.2685242257048e-12,0.370328326216979,0.225,0.103,2.23482656130194e-07,"LEC","eif2b4"
9.38236334027805e-12,0.452127702634369,0.233,0.109,2.26227544860784e-07,"LEC","tubg1"
9.44723450178302e-12,0.430037237883122,0.308,0.161,2.27791718306992e-07,"LEC","rhot1a"
9.58697172405171e-12,0.796030780537644,0.145,0.055,2.31161062210335e-07,"LEC","ivns1abpa"
9.83015059005633e-12,1.51190324701379,0.039,0.004,2.37024591027438e-07,"LEC","si:ch211-113a14.22.2"
9.90487401587273e-12,0.579820653478144,0.213,0.096,2.38826322270723e-07,"LEC","sra1"
9.93448359884166e-12,0.428873810921306,0.254,0.123,2.3954026853527e-07,"LEC","taf5"
9.95171757921928e-12,0.353358459382139,0.372,0.203,2.39955814270135e-07,"LEC","nlk1"
9.98784301929859e-12,0.230200980853101,0.277,0.136,2.40826870881328e-07,"LEC","ccny"
1.00165230965198e-11,0.504982435788057,0.2,0.087,2.41518404903286e-07,"LEC","nme7"
1.01085574459917e-11,1.14116966717167,0.099,0.03,2.43737537137751e-07,"LEC","mblac1"
1.02132804621019e-11,0.386157304192382,0.322,0.169,2.46262618502201e-07,"LEC","dpp3"
1.04001998167655e-11,0.357734812628788,0.717,0.493,2.50769617981849e-07,"LEC","st6gal2a"
1.04135292519742e-11,0.414122517182254,0.773,0.593,2.51091017323602e-07,"LEC","cnbpb"
1.04560395177684e-11,0.402594771249601,0.236,0.111,2.52116024852431e-07,"LEC","si:ch211-282b22.1"
1.05118120980344e-11,-1.14976896042549,0.362,0.451,2.53460813307805e-07,"LEC","sh3gl3b"
1.05591835195911e-11,0.357700990833599,0.791,0.563,2.5460303302438e-07,"LEC","ppp1r14bb"
1.05674850609047e-11,0.462042056766385,0.221,0.102,2.54803199788533e-07,"LEC","trib3"
1.06427480715615e-11,0.524948295063857,0.215,0.099,2.56617941501492e-07,"LEC","dnajc15"
1.09773237506259e-11,1.41745024892335,0.05,0.008,2.64685230275091e-07,"LEC","si:dkey-108k21.11"
1.09894064673444e-11,0.30141887377888,0.653,0.418,2.64976568740608e-07,"LEC","sf3a2"
1.11254274183639e-11,0.351554966585165,0.326,0.171,2.68256305911591e-07,"LEC","cdk12"
1.1131585604751e-11,0.311345969010502,0.246,0.118,2.68404792101757e-07,"LEC","ndufaf1"
1.12750079731849e-11,-0.814975341260547,0.647,0.635,2.71862992249435e-07,"LEC","selenow1"
1.13535552178652e-11,-1.95949802662331,0.06,0.179,2.73756923413165e-07,"LEC","loxl2a"
1.14424184324013e-11,-2.67461500500295,0.052,0.165,2.75899593242059e-07,"LEC","snx22"
1.15170000131699e-11,0.385138683673879,0.316,0.165,2.77697904317553e-07,"LEC","parp2"
1.15262346825274e-11,0.564863885488606,0.275,0.138,2.77920570665101e-07,"LEC","lrrc20"
1.18328252797145e-11,0.281213808056573,0.5,0.289,2.85313083144476e-07,"LEC","si:dkey-33c12.4"
1.18896107258107e-11,0.354855904088556,0.128,0.045,2.86682293820748e-07,"LEC","usp37"
1.19430292973507e-11,0.214236923110683,0.287,0.142,2.8797032241772e-07,"LEC","ppp1r8b"
1.21297063130714e-11,0.703374319383927,0.147,0.056,2.92471478620778e-07,"LEC","si:dkey-119f1.1"
1.21738753121581e-11,0.316773681122677,0.397,0.219,2.93536481526757e-07,"LEC","CABZ01076275.1"
1.21938208778897e-11,0.42299725360364,0.254,0.124,2.94017409007678e-07,"LEC","kat8"
1.22441382671448e-11,0.398798006874977,0.68,0.443,2.95230661897396e-07,"LEC","pfdn5"
1.23341811546002e-11,0.374347571601206,0.225,0.103,2.97401775999721e-07,"LEC","abt1"
1.24518313142552e-11,0.988871082168751,0.064,0.013,3.00238556649322e-07,"LEC","zgc:171759"
1.24827486873064e-11,0.62968979404806,0.159,0.063,3.00984036348333e-07,"LEC","ACBD3"
1.25677586242143e-11,0.371826770171918,0.45,0.263,3.03033795947054e-07,"LEC","lztfl1"
1.25682448519294e-11,0.488782624109946,0.258,0.127,3.03045519869722e-07,"LEC","zfhx4"
1.25853512939892e-11,0.501228014693408,0.167,0.068,3.03457990400668e-07,"LEC","wrn"
1.26128056280961e-11,0.567476781189594,0.277,0.141,3.04119969304652e-07,"LEC","camk1b"
1.27192601294428e-11,0.448056899256575,0.192,0.083,3.06686800241125e-07,"LEC","pmpcb"
1.28557510288707e-11,0.500928864864539,0.178,0.075,3.09977868808131e-07,"LEC","tert"
1.28629695086346e-11,0.559211519863317,0.172,0.071,3.10151920792197e-07,"LEC","dixdc1b"
1.29936297312862e-11,1.80321318255315,0.06,0.012,3.13302400080773e-07,"LEC","rad51c"
1.31885015360694e-11,0.435293926285362,0.26,0.127,3.18001149037705e-07,"LEC","smn1"
1.3188950397695e-11,0.249094344363283,0.438,0.247,3.18011971989221e-07,"LEC","naa15b"
1.33754373599104e-11,0.557245950074485,0.174,0.073,3.22508545622159e-07,"LEC","mettl16"
1.3483474980622e-11,0.628207082915983,0.155,0.061,3.25113548732758e-07,"LEC","polr1c"
1.34938646856383e-11,0.352624642272466,0.345,0.186,3.2536406530011e-07,"LEC","gata2a"
1.37803823364292e-11,0.393975347647724,0.138,0.05,3.32272578895981e-07,"LEC","eefsec"
1.38673463429939e-11,0.302600398154743,0.229,0.106,3.34369455022269e-07,"LEC","ctdspl3"
1.39906232641236e-11,0.416635381185039,0.188,0.081,3.37341908144549e-07,"LEC","rnaseh2c"
1.40666409784613e-11,0.318098600318658,0.411,0.231,3.39174847272659e-07,"LEC","hnrnpul1l"
