"rank","index","confect","effect","AveExpr","name","group"
190,13633,0.09,0.191160449076285,7.19526879944747,"ATP8A1","hmVEC__mVEC"
191,16321,0.09,0.203834612092804,7.11194738549074,"krt91","hmVEC__mVEC"
192,3762,-0.09,-0.251754455802139,8.0565699848332,"notch1b","hmVEC__mVEC"
193,23620,0.09,0.201000083969922,7.27882288981714,"CABZ01076275.1","hmVEC__mVEC"
194,19513,0.089,0.215925731183363,7.3279009108829,"slco2b1","hmVEC__mVEC"
195,5679,0.089,0.230280028500075,7.64657804631171,"nasp","hmVEC__mVEC"
196,3553,0.089,0.268803238581713,8.69091976024577,"scarb2a","hmVEC__mVEC"
197,7441,0.089,0.271731580789732,9.02739276407831,"clta","hmVEC__mVEC"
198,20569,0.089,0.235809735662859,7.82787433698184,"hint1","hmVEC__mVEC"
199,23534,0.089,0.275827651824863,8.90592510969781,"mt-nd2","hmVEC__mVEC"
200,21692,0.089,0.169341571757482,7.07408690504096,"cremb","hmVEC__mVEC"
201,14640,0.088,0.179306642178285,7.1317197764092,"ss18l2","hmVEC__mVEC"
202,8347,0.088,0.260108166709306,8.67202746397456,"atp5mc3a","hmVEC__mVEC"
203,19059,-0.088,-0.260059010221567,8.37410748842559,"gstt1b","hmVEC__mVEC"
204,21370,0.088,0.17083643987256,7.05843200012051,"myca","hmVEC__mVEC"
205,2759,-0.087,-0.187339665291149,7.128659634221,"fgf10b","hmVEC__mVEC"
206,18338,-0.087,-0.252205510361696,13.6831102191923,"si:dkey-151g10.6","hmVEC__mVEC"
207,9431,0.087,0.206748936265449,7.38649925654003,"cpvl","hmVEC__mVEC"
208,9038,-0.086,-0.270198904683177,8.50333696938808,"dap1b","hmVEC__mVEC"
209,232,0.086,0.222102786031678,7.71549938758509,"lsm8","hmVEC__mVEC"
210,2670,0.086,0.193240031082253,7.28984910565573,"gng10","hmVEC__mVEC"
211,2846,0.086,0.295633062632589,9.05990513151311,"sema4c","hmVEC__mVEC"
212,3177,0.085,0.27048570991588,9.2974163694316,"atp5l","hmVEC__mVEC"
213,2354,-0.085,-0.269647911688166,8.67922549609687,"cgnl1","hmVEC__mVEC"
214,2502,0.085,0.249547183912713,8.11193148679886,"parvab","hmVEC__mVEC"
215,11783,0.085,0.17661366735887,7.07522665754658,"pdlim2","hmVEC__mVEC"
216,21648,-0.085,-0.227924332650992,7.58021695557803,"hs6st1b","hmVEC__mVEC"
217,4373,0.085,0.181862734179463,7.11715600519936,"BX936342.2","hmVEC__mVEC"
218,16142,0.084,0.244437917352825,8.2444533662999,"ndufb8","hmVEC__mVEC"
219,18624,0.084,0.166370351984958,7.02936456709245,"vwa1","hmVEC__mVEC"
220,21447,-0.084,-0.229132651854434,7.69100947966228,"pip4k2aa","hmVEC__mVEC"
221,2835,0.083,0.236982038711477,8.12100800014167,"h2az2a","hmVEC__mVEC"
222,12238,0.082,0.245422098910518,8.36977392050855,"psma3","hmVEC__mVEC"
223,1897,0.082,0.159136979574388,7.01652195390829,"mpdu1b","hmVEC__mVEC"
224,2981,0.082,0.164625010880173,7.12080853831749,"agtr2","hmVEC__mVEC"
225,15587,0.082,0.191514051136497,7.40919929729525,"lsm5","hmVEC__mVEC"
226,18556,0.082,0.16748551311107,7.0293371790023,"hoxc3a","hmVEC__mVEC"
227,5033,-0.081,-0.165838746935092,6.98695884373589,"notum1a","hmVEC__mVEC"
228,18273,0.081,0.155187610127293,6.9738017816724,"dhrs3a","hmVEC__mVEC"
229,18578,0.08,0.269148623674649,9.35710587880302,"gpr182","hmVEC__mVEC"
230,17993,0.08,0.162975245262031,7.10399426436126,"nup210","hmVEC__mVEC"
231,15044,0.079,0.24300706477052,8.38397393836873,"idh2","hmVEC__mVEC"
232,18648,0.079,0.176503700578785,7.19678278433026,"reps2","hmVEC__mVEC"
233,7776,0.079,0.224867192215789,7.9346700800035,"lsm6","hmVEC__mVEC"
234,18034,0.079,0.208059682424814,7.64824743380184,"ptges3b","hmVEC__mVEC"
235,2523,0.078,0.19207968587255,7.48450343003065,"kars1","hmVEC__mVEC"
236,10041,0.077,0.259407640069127,8.21789417743068,"LO017938.1","hmVEC__mVEC"
237,16624,-0.077,-0.244714843353622,7.86681630267199,"nfatc1","hmVEC__mVEC"
238,6751,0.077,0.240072719826534,7.54574244024182,"rnf220a","hmVEC__mVEC"
239,15567,-0.076,-0.243298973108007,7.9381081532196,"raraa","hmVEC__mVEC"
240,16544,0.076,0.242746131402906,7.92753754306611,"stmn1a","hmVEC__mVEC"
241,12338,-0.076,-0.1779265756707,7.17844793653429,"ism2a","hmVEC__mVEC"
242,534,0.076,0.159844914847942,7.06629101384833,"cpm","hmVEC__mVEC"
243,223,0.075,0.143467165063636,6.9590021428454,"avpr1ab","hmVEC__mVEC"
244,21235,0.075,0.252290382818143,10.664563950752,"ppiab","hmVEC__mVEC"
245,23539,0.075,0.244880664076768,12.1064481495262,"mt-co3","hmVEC__mVEC"
246,8154,-0.075,-0.220218118615826,7.52219555704626,"dnajb1b","hmVEC__mVEC"
247,21520,-0.075,-0.241622862147833,8.7929387453424,"wasf3b","hmVEC__mVEC"
248,3105,0.074,0.307710516918908,8.61440689203117,"tcima","hmVEC__mVEC"
249,23542,0.074,0.256996240542746,9.49018201776885,"mt-nd4","hmVEC__mVEC"
250,18020,0.074,0.159882385958079,7.06487694705674,"CABZ01026153.1","hmVEC__mVEC"
251,22717,0.073,0.225941120681811,8.22514514994776,"psmd1","hmVEC__mVEC"
252,10628,0.072,0.242585061312677,8.54209522596144,"ywhaqa","hmVEC__mVEC"
253,4836,0.072,0.237311375674962,8.0472448226983,"micall2a","hmVEC__mVEC"
254,13653,-0.072,-0.187676563078326,15.4285015730818,"CR383676.2","hmVEC__mVEC"
255,20815,0.071,0.221550225519516,7.74706318701301,"npm1a","hmVEC__mVEC"
256,4691,0.071,0.200287593998002,7.71666063086614,"ndufab1b","hmVEC__mVEC"
257,19889,0.071,0.24611006418921,9.3142371174917,"atp5f1b","hmVEC__mVEC"
258,17567,0.071,0.228040017459023,8.17117169148486,"scarf1","hmVEC__mVEC"
259,6805,0.071,0.157578776465278,7.10187679982607,"map1sb","hmVEC__mVEC"
260,6287,0.071,0.167365164500323,7.13231545387117,"rgs5b","hmVEC__mVEC"
261,19838,0.07,0.243687794679505,8.20055221286289,"mcf2l2","hmVEC__mVEC"
262,5369,-0.07,-0.21164592851075,7.69059528080094,"calcrlb","hmVEC__mVEC"
263,11590,0.07,0.221165469550919,7.74099937387588,"prex1","hmVEC__mVEC"
264,1577,-0.07,-0.213169551626617,7.65726870125287,"sh3gl3a","hmVEC__mVEC"
265,18068,-0.07,-0.238406914538073,8.279915413039,"soga1","hmVEC__mVEC"
266,4783,0.069,0.16620154123529,7.25404395232417,"drg2","hmVEC__mVEC"
267,8156,0.069,0.21754227847467,8.01896041761311,"ndufb7","hmVEC__mVEC"
268,9427,0.069,0.162832956439928,7.16355165419399,"plekha8","hmVEC__mVEC"
269,1802,0.069,0.206798222613642,7.66543929097741,"si:ch211-200p22.4","hmVEC__mVEC"
270,12848,0.069,0.229049349932378,8.32130035346447,"cox7a2a","hmVEC__mVEC"
271,18298,-0.068,-0.25158072333065,8.24912733063247,"agrn","hmVEC__mVEC"
272,4460,0.068,0.162472884721947,7.22952607171502,"si:ch211-156b7.4","hmVEC__mVEC"
273,13783,-0.068,-0.169803251570181,7.21677638541215,"abcc2","hmVEC__mVEC"
274,5650,-0.068,-0.207240510934317,7.58654990670779,"cachd1","hmVEC__mVEC"
275,14586,0.068,0.166759888369227,7.28336358055035,"tomm20a","hmVEC__mVEC"
276,21128,0.067,0.241071368398585,7.95480337628975,"pcna","hmVEC__mVEC"
277,18892,0.067,0.231934667336974,9.0658374651419,"atp5fa1","hmVEC__mVEC"
278,15199,0.067,0.22417638342947,8.22047769748756,"snrpd2","hmVEC__mVEC"
279,8638,-0.067,-0.226763627083411,8.04868435712402,"lypd6","hmVEC__mVEC"
280,5612,0.067,0.245186490543029,8.61686855737495,"atp1b1a","hmVEC__mVEC"
281,15710,-0.067,-0.193505990363582,7.62615550578295,"tnrc6b","hmVEC__mVEC"
282,15456,0.067,0.134972330700237,6.97419727771088,"CABZ01030107.1","hmVEC__mVEC"
283,13693,0.066,0.15595861498637,7.17055167067484,"etfdh","hmVEC__mVEC"
284,3662,-0.066,-0.231327629608806,7.97382276924156,"doc2b","hmVEC__mVEC"
285,13881,0.066,0.177939552882592,7.4396972971702,"ppm1g","hmVEC__mVEC"
286,19812,0.066,0.151820139555771,7.19956340966321,"thop1","hmVEC__mVEC"
287,2440,0.065,0.277177451472345,9.10060391968332,"mrc1a","hmVEC__mVEC"
288,22125,0.065,0.243639543215251,9.04835373136275,"tma7","hmVEC__mVEC"
289,5541,0.065,0.197539428478586,7.4900316011361,"gadd45ab","hmVEC__mVEC"
290,20585,0.065,0.191776673480508,7.6150675718602,"ewsr1a","hmVEC__mVEC"
291,5664,-0.065,-0.190970439366513,7.51096582768877,"kank4","hmVEC__mVEC"
292,18305,0.065,0.198295501365362,7.75923676417304,"ddost","hmVEC__mVEC"
293,1444,0.064,0.219152297599743,7.5742854286,"dusp19b","hmVEC__mVEC"
294,8491,-0.064,-0.209172996617167,7.73590543311853,"bmpr2b","hmVEC__mVEC"
295,14215,0.064,0.198142167715135,7.35428079098054,"kcnq5a","hmVEC__mVEC"
296,1687,0.064,0.236698457760048,8.82827116665435,"snrpf","hmVEC__mVEC"
