"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group"
"MZT1",0.000312453126507257,0.0084635064135784,0.187,0.127,1,"LEC__preLEC"
"vps4b",0.00031274684655247,-0.0218901536291816,0.377,0.273,1,"LEC__preLEC"
"tox2",0.000313320424134487,0.108230171524678,0.353,0.26,1,"LEC__preLEC"
"knop1",0.000315458329009786,-0.00935106628502835,0.176,0.12,1,"LEC__preLEC"
"ksr1b",0.000315506491020098,0.160446018948348,0.091,0.055,1,"LEC__preLEC"
"mllt1b",0.000316018563910792,0.528188635961773,0.04,0.018,1,"LEC__preLEC"
"pitpnbl",0.000317142428430207,0.0214745064222045,0.384,0.281,1,"LEC__preLEC"
"dennd6aa",0.000317150327572967,0.184140670628232,0.065,0.036,1,"LEC__preLEC"
"crebbpa",0.000317244143572392,0.0844997455303144,0.168,0.114,1,"LEC__preLEC"
"si:ch73-22o12.1",0.000317352950087335,-0.00210755225329184,0.284,0.202,1,"LEC__preLEC"
"palm2akap2.1",0.000317485294455075,-0.00827170343309525,0.189,0.13,1,"LEC__preLEC"
"slc45a4b",0.000317807423520714,0.60918911044457,0.041,0.019,1,"LEC__preLEC"
"f3b",0.000318104266020441,0.189218269312723,0.073,0.042,1,"LEC__preLEC"
"gtf2a1",0.000318510672671031,-0.00573549773397941,0.147,0.097,1,"LEC__preLEC"
"gch2",0.000319699237613572,0.0863557676557098,0.118,0.075,1,"LEC__preLEC"
"dhfr",0.000320535875580498,0.218755096989197,0.134,0.089,1,"LEC__preLEC"
"tnrc6b",0.000321321998695925,0.112899145218645,0.201,0.14,1,"LEC__preLEC"
"grinab",0.00032147229366854,0.0502636393974067,0.485,0.362,1,"LEC__preLEC"
"riox2",0.000322543105785914,0.0855733493834578,0.073,0.041,1,"LEC__preLEC"
"rbm6",0.000323426630976529,-0.0766147966648388,0.154,0.102,1,"LEC__preLEC"
"bmpr2a",0.00032380452562031,0.0254539854280941,0.363,0.262,1,"LEC__preLEC"
"snrnp40",0.00032450964614643,-0.0494084471139683,0.161,0.107,1,"LEC__preLEC"
"gabpb2b",0.000324579648653161,0.32096772784256,0.039,0.018,1,"LEC__preLEC"
"maip1",0.000324778194573985,0.0991322390980551,0.124,0.08,1,"LEC__preLEC"
"RASA2",0.000326259940243784,0.240172365805079,0.081,0.048,1,"LEC__preLEC"
"rbm34",0.000327421115330721,-0.0242492386498914,0.119,0.076,1,"LEC__preLEC"
"napab",0.000327560370222606,0.00983165977124187,0.262,0.183,1,"LEC__preLEC"
"mhc1laa",0.00032882456450926,0.812340646159261,0.045,0.021,1,"LEC__preLEC"
"rybpb",0.000328929263422066,0.018876716728548,0.2,0.137,1,"LEC__preLEC"
"fopnl",0.000329066067936702,1.12786214751537,0.022,0.007,1,"LEC__preLEC"
"emp2",0.000329097753420543,0.0749061003654925,0.557,0.435,1,"LEC__preLEC"
"eif4a3",0.000329772454448194,0.0563685016239188,0.432,0.322,1,"LEC__preLEC"
"fam219aa",0.000329995828428832,0.758138711811062,0.033,0.014,1,"LEC__preLEC"
"CABZ01080371.1",0.000330088332348978,1.29322658065477,0.022,0.007,1,"LEC__preLEC"
"znhit3",0.000331726573067351,0.57797543416784,0.043,0.02,1,"LEC__preLEC"
"eif4g3b",0.000332000824662811,0.657807120939986,0.053,0.028,1,"LEC__preLEC"
"trappc6bl",0.000332219466276417,-0.00675976800928879,0.071,0.04,1,"LEC__preLEC"
"lrrtm2",0.000332325684328728,0.898789952644748,0.033,0.014,1,"LEC__preLEC"
"FO704779.1",0.000332896215462993,0.645602901789674,0.044,0.021,1,"LEC__preLEC"
"asap2a",0.000333035961964242,0.309817656736333,0.075,0.043,1,"LEC__preLEC"
"smim19",0.000333557931276394,-0.0457156500701843,0.084,0.049,1,"LEC__preLEC"
"SPEN",0.000333923442513869,0.196359667612704,0.141,0.094,1,"LEC__preLEC"
"bahcc1a",0.000334286040320368,0.148964839356986,0.12,0.077,1,"LEC__preLEC"
"nae1",0.000334313707894278,0.168866858571543,0.099,0.061,1,"LEC__preLEC"
"pgpep1",0.000334357475716912,-0.00517841030407107,0.165,0.112,1,"LEC__preLEC"
"si:dkey-217d24.6",0.000334660629590976,0.639226375064721,0.047,0.023,1,"LEC__preLEC"
"si:ch211-116o3.5",0.000336525098997576,0.438668022064822,0.041,0.019,1,"LEC__preLEC"
"hmgn3",0.000336846651522963,0.0436729629815314,0.209,0.146,1,"LEC__preLEC"
"nat10",0.000337340585886877,-0.0334813399602925,0.084,0.05,1,"LEC__preLEC"
"terfa",0.000337644969802675,-0.024905458970923,0.115,0.073,1,"LEC__preLEC"
"pdzrn3b",0.000337797916784046,0.163211127862387,0.207,0.147,1,"LEC__preLEC"
"si:dkey-118j18.2",0.000337972213321835,0.129027324474469,0.129,0.084,1,"LEC__preLEC"
"cxxc5a",0.000338293346894574,-0.0521007835302865,0.359,0.255,1,"LEC__preLEC"
"s1pr1",0.000339381900532835,-0.0185295885505359,0.227,0.161,1,"LEC__preLEC"
"vps36",0.000340231730433036,-0.013045647754792,0.155,0.104,1,"LEC__preLEC"
"wu:fa19b12",0.000341003935276315,0.365977494759118,0.042,0.02,1,"LEC__preLEC"
"TPGS1",0.000342526403130894,0.190478477864803,0.118,0.075,1,"LEC__preLEC"
"myo5c",0.000344013161148293,2.08279704720621,0.012,0.002,1,"LEC__preLEC"
"dbnlb",0.000344404897790518,-0.00391422659293589,0.216,0.15,1,"LEC__preLEC"
"ahcyl2b",0.00034480133920961,0.271370941580239,0.081,0.048,1,"LEC__preLEC"
"ndufa2",0.000345225864087984,0.0751496730036786,0.28,0.202,1,"LEC__preLEC"
"slc39a6",0.000345276884119882,0.242672707731658,0.081,0.048,1,"LEC__preLEC"
"pet100",0.000345749702152402,0.00488913157809823,0.163,0.11,1,"LEC__preLEC"
"rabggtb",0.000345812885197604,0.0571835077790597,0.135,0.089,1,"LEC__preLEC"
"si:ch211-152c2.3",0.00034595997617137,0.599880004847738,0.045,0.022,1,"LEC__preLEC"
"atic",0.000346786251169427,0.71312301664405,0.048,0.024,1,"LEC__preLEC"
"lonp2",0.000348485395769841,0.573238058212524,0.045,0.021,1,"LEC__preLEC"
"C3H17orf75",0.000349472933447892,1.74562983062675,0.016,0.004,1,"LEC__preLEC"
"pus7",0.000351044297253998,0.278370906107834,0.074,0.042,1,"LEC__preLEC"
"prkar1ab",0.000351927420711203,0.564380269323723,0.059,0.032,1,"LEC__preLEC"
"zgc:153409",0.000351983669092326,-0.459663033170396,0.546,0.51,1,"LEC__preLEC"
"dynlrb1",0.000352263437576587,0.0187934621397012,0.522,0.383,1,"LEC__preLEC"
