"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group"
"nat14",0.821045902813659,-0.68228174843246,0.034,0.036,1,"mVEC"
"tpcn1",0.821091654890314,0.0796505512833765,0.144,0.141,1,"mVEC"
"hist1h2a10",0.821385852806355,0.317555189385559,0.014,0.015,1,"mVEC"
"si:dkey-184p18.2",0.821385852806355,0.0584622675298307,0.014,0.015,1,"mVEC"
"xrn2",0.821413929007996,0.0334278803491933,0.433,0.451,1,"mVEC"
"AL928908.2",0.821444338016565,-0.115108167341734,0.028,0.026,1,"mVEC"
"ankrd50l",0.821484007115826,0.126436038162151,0.083,0.08,1,"mVEC"
"cstf1",0.821807591597557,0.0911590299345746,0.108,0.112,1,"mVEC"
"snrnp27",0.821957429301654,0.114921500372071,0.372,0.374,1,"mVEC"
"mcts1",0.822024298648934,0.0483592055537518,0.309,0.303,1,"mVEC"
"kif2c",0.822030381492122,-0.701426507036817,0.049,0.051,1,"mVEC"
"pcdh1g18",0.822153868879276,-0.0353132716768139,0.015,0.014,1,"mVEC"
"fam91a1",0.822265717347594,0.138586074461894,0.162,0.168,1,"mVEC"
"shroom2a",0.822367805316779,0.0496361649882063,0.31,0.306,1,"mVEC"
"tdp1",0.822529484959953,-0.391546009515606,0.06,0.063,1,"mVEC"
"znf438",0.822653830039203,0.149580465375693,0.195,0.19,1,"mVEC"
"CR847994.1",0.822665974337303,-0.1498502970744,0.015,0.014,1,"mVEC"
"fam126a",0.82276245877261,0.0110968152606745,0.193,0.199,1,"mVEC"
"prkcaa",0.823007604759536,0.0727137021933694,0.258,0.257,1,"mVEC"
"tbc1d16",0.823276635385279,0.199789382972175,0.236,0.248,1,"mVEC"
"relch",0.823377807714358,0.00253800711603192,0.206,0.213,1,"mVEC"
"fbxl3l",0.823434274111754,0.0296505087486763,0.014,0.015,1,"mVEC"
"si:dkey-4c15.12",0.823434274111754,0.183805224692539,0.014,0.015,1,"mVEC"
"ccnt2a",0.823445963946652,0.0226298890740924,0.097,0.1,1,"mVEC"
"trappc6b",0.823575678275506,0.121268389082303,0.172,0.17,1,"mVEC"
"si:dkey-190g11.3",0.823690411687819,0.157261864231955,0.015,0.014,1,"mVEC"
"BX640522.1",0.823690411687819,-0.024434010017286,0.015,0.014,1,"mVEC"
"caskb",0.823720606674875,0.0675648695730466,0.112,0.116,1,"mVEC"
"CABZ01026681.1",0.823741035900913,0.064492964050878,0.155,0.16,1,"mVEC"
"CABZ01084501.2",0.823760977767195,0.03964101670738,0.03,0.032,1,"mVEC"
"G3BP2",0.823761214763026,0.029623362283587,0.295,0.304,1,"mVEC"
"puf60b",0.823849533038922,0.038537842165747,0.214,0.207,1,"mVEC"
"mrvi1",0.823946568045576,0.340373290934618,0.014,0.015,1,"mVEC"
"wwp1",0.824195473150029,0.01065076161255,0.092,0.095,1,"mVEC"
"yod1",0.824215231112105,0.042003347139282,0.082,0.085,1,"mVEC"
"pdf",0.824312088560307,-0.0845599053547552,0.035,0.037,1,"mVEC"
"usp8",0.824395896421476,0.121949385991495,0.22,0.218,1,"mVEC"
"arl16",0.824458937000685,0.273492325964884,0.014,0.015,1,"mVEC"
"atg10",0.82448726192044,-0.490073878699241,0.019,0.02,1,"mVEC"
"dgcr2",0.824496191430584,0.0647018310287394,0.237,0.245,1,"mVEC"
"FO082779.1",0.824523365029572,-0.713531259350977,0.024,0.026,1,"mVEC"
"akr1b1.2",0.82460924012952,0.557129054078882,0.043,0.041,1,"mVEC"
"si:dkey-98f17.5",0.824629618300571,0.404510415722037,0.024,0.022,1,"mVEC"
"arl6ip1",0.82479952646009,0.043355097870178,0.499,0.524,1,"mVEC"
"dhrs11b",0.8248045119811,0.138338727481577,0.041,0.044,1,"mVEC"
"tm7sf3",0.824904848558119,-0.0505515968226424,0.098,0.094,1,"mVEC"
"si:ch211-208h16.4",0.824971380766062,0.0936842108743212,0.014,0.015,1,"mVEC"
"lcor",0.825113277307215,-0.136494377000151,0.128,0.131,1,"mVEC"
"kirrel3l",0.825136975207179,-0.0136551283303077,0.84,0.837,1,"mVEC"
"hacd1",0.825227630636632,-0.193712439492139,0.015,0.014,1,"mVEC"
"eif4a3",0.82552558040647,0.0546204826194325,0.361,0.374,1,"mVEC"
"col4a1",0.825613167670941,0.0793846508317129,0.553,0.556,1,"mVEC"
"dis3l2",0.825697501307371,0.0730255937842956,0.205,0.202,1,"mVEC"
"C5H2orf42",0.825740186221541,0.0773662958809425,0.015,0.014,1,"mVEC"
"dipk1c",0.825740186221541,-0.0219898560089398,0.015,0.014,1,"mVEC"
"atad5a",0.825898654135425,0.0655543438282882,0.126,0.122,1,"mVEC"
"CABZ01085137.1",0.825996491883067,0.155430002830451,0.014,0.015,1,"mVEC"
"psmd2",0.826080593318962,0.161064803990133,0.167,0.165,1,"mVEC"
"si:dkey-276j7.1",0.826195874593338,0.0220887982272628,0.23,0.226,1,"mVEC"
"pbrm1l",0.826211076728421,0.0477075350903715,0.258,0.265,1,"mVEC"
"ddx5",0.82621123558333,0.0251045707980531,0.72,0.74,1,"mVEC"
"twistnb",0.826214518626557,-0.0505647945904548,0.108,0.104,1,"mVEC"
"ikbkb",0.826255329451784,0.137489996272841,0.102,0.099,1,"mVEC"
"ppp2r5a",0.826386346172272,-0.176795003947647,0.166,0.168,1,"mVEC"
"pik3ip1",0.826389975169341,-0.0650607328155723,0.122,0.126,1,"mVEC"
"si:ch211-230g15.5",0.826493644710023,0.00971775215192627,0.072,0.075,1,"mVEC"
"urod",0.826550849530628,-0.106022158183335,0.04,0.043,1,"mVEC"
"si:ch211-209l18.2",0.826698634126625,-0.52113687920852,0.019,0.02,1,"mVEC"
"rars1",0.826774985986501,0.04740755052358,0.167,0.162,1,"mVEC"
"dnajb6a",0.826834191251225,0.0398118981746608,0.265,0.276,1,"mVEC"
"sel1l",0.826922385912837,0.117423900305762,0.186,0.185,1,"mVEC"
"macroh2a2",0.827241779873471,0.0529662133812709,0.764,0.774,1,"mVEC"
"gtpbp2b",0.82728952351507,-0.513563036772663,0.024,0.026,1,"mVEC"
"ptpmt1",0.827316914600383,0.187605213615952,0.064,0.061,1,"mVEC"
"CU655842.1",0.827493687656065,-0.06639443439723,0.06,0.063,1,"mVEC"
"adam17b",0.827521348420608,-0.156703299797521,0.065,0.068,1,"mVEC"
"cyp26a1",0.827534714354627,0.146845954916095,0.014,0.015,1,"mVEC"
"rnd3a",0.827608877080372,0.084260272052822,0.294,0.291,1,"mVEC"
"txndc15",0.827719305375514,0.129221883070901,0.181,0.189,1,"mVEC"
"zfyve21",0.82775258123851,0.0729665765560866,0.391,0.388,1,"mVEC"
"BX901942.1",0.827766861634734,0.0275741204699482,0.068,0.065,1,"mVEC"
"herc1",0.827791456545265,-0.00479499194626509,0.171,0.175,1,"mVEC"
"scamp1",0.827904069808227,-0.0474994774089468,0.072,0.075,1,"mVEC"
"brwd3",0.827951448426373,-0.0093927309159616,0.101,0.104,1,"mVEC"
"metrn",0.828056819252089,-0.193843523944636,0.109,0.112,1,"mVEC"
"si:ch1073-291c23.2",0.828209516053281,0.0106881639662995,0.373,0.389,1,"mVEC"
"prrg2",0.828293466644807,0.18782984968971,0.024,0.022,1,"mVEC"
"cdh1",0.828700793163607,0.108254157067732,0.024,0.022,1,"mVEC"
"otud5a",0.828799083923861,0.00470412200645404,0.318,0.327,1,"mVEC"
"uhrf1",0.828810754409394,0.0324719153998514,0.379,0.374,1,"mVEC"
"ppp1r8a",0.828817072258715,-0.256796892017123,0.015,0.014,1,"mVEC"
"cobll1b",0.828926559694334,-0.531524323203109,0.039,0.041,1,"mVEC"
"ppardb",0.829069599039838,-0.117377496819736,0.148,0.151,1,"mVEC"
"CABZ01068600.1",0.829108165745546,0.479089442227493,0.024,0.022,1,"mVEC"
"trib3",0.829147220566607,-0.0030250920264856,0.099,0.095,1,"mVEC"
"psd2",0.82943597665446,0.101567642072581,0.17,0.175,1,"mVEC"
"tegt",0.829637385874343,0.0403493079451702,0.269,0.267,1,"mVEC"
"pof1b",0.829640995346938,0.0089250318391203,0.101,0.097,1,"mVEC"
