Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,is_hippo_gene
jkamp,0.0167931802429145,-0.00321792637524654,0.087,0.049,1,
SPEN,0.0202940897688572,-0.00272920482954331,0.151,0.098,1,
tns1b,0.0138347227092508,-0.00263817786149506,0.31,0.215,1,
fkbp4,0.0414457125840831,-0.00222481375624284,0.121,0.08,1,
dnmt1,0.038556080324999,-0.00133213255769515,0.095,0.06,1,
plod3,0.0272659852966353,-0.00111153287522547,0.208,0.144,1,
emc7,0.0252312044862247,-4.2687187480305e-4,0.351,0.251,1,
ppp1r2,0.0299444389631568,-4.1755897787842e-4,0.171,0.116,1,
actn4,0.0130750715612602,-3.8772165920453e-4,0.254,0.175,1,
dtnbp1a,0.0320940651140565,-3.7976425090724e-4,0.244,0.173,1,
hnrnpub,0.0100100349854668,-3.6061972264456e-4,0.421,0.289,1,
si:dkey-6n21.12,0.0295642993781065,-3.2769391030773e-4,0.196,0.135,1,
