"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group"
"ric8b",0.0252418673412317,0.197111594672836,0.046,0.022,1,"hmVEC"
"tnrc6b",0.0252427963977029,-0.0624681434090074,0.183,0.123,1,"hmVEC"
"tlcd4b",0.0252630830475656,0.109942017891025,0.044,0.021,1,"hmVEC"
"grsf1",0.025313361978112,0.40971389974049,0.046,0.022,1,"hmVEC"
"dip2ca",0.0253253006624003,0.325640171754355,0.05,0.025,1,"hmVEC"
"rif1",0.0253763662234335,0.0225357951813883,0.069,0.038,1,"hmVEC"
"pgrmc1",0.0254014275856479,0.0266718917684894,0.643,0.471,1,"hmVEC"
"ENSDARG00000059507",0.0254118533845097,0.234461162690575,0.214,0.153,1,"hmVEC"
"nxn",0.0254198348877298,-0.0145238145783249,0.246,0.171,1,"hmVEC"
"slc3a2b",0.0254282965577851,0.0407883333309045,0.159,0.107,1,"hmVEC"
"lztr1",0.0254286063214152,0.145148897104291,0.056,0.029,1,"hmVEC"
"mcoln1a",0.0254571694816857,0.410911181863407,0.095,0.059,1,"hmVEC"
"seh1l",0.0254713845841641,0.125970574192515,0.139,0.091,1,"hmVEC"
"vezf1b",0.0255653769169363,0.231963299299853,0.05,0.025,1,"hmVEC"
"tnrc6c2",0.0255808609272638,0.0935594351844113,0.151,0.101,1,"hmVEC"
"cpdp",0.0256731546942152,-0.0743606826113148,0.119,0.076,1,"hmVEC"
"cyp1a",0.0257576496751643,0.602708893412451,0.069,0.039,1,"hmVEC"
"ngdn",0.0257791950883604,0.0634992442528872,0.113,0.072,1,"hmVEC"
"cmc2",0.0258074195133358,0.0497980024818432,0.05,0.025,1,"hmVEC"
"ddx21",0.0258082718184884,0.0136047016933425,0.319,0.227,1,"hmVEC"
"atp5pb",0.0258992042965706,0.108049737071921,0.819,0.663,1,"hmVEC"
"rrp12",0.0259108759192429,0.241841540373748,0.052,0.027,1,"hmVEC"
"samd1a",0.0259117571781601,0.181894202164673,0.05,0.025,1,"hmVEC"
"ube2h",0.025940784405668,0.107908428979972,0.2,0.136,1,"hmVEC"
"mapk7",0.0259670965447548,0.216245195919297,0.048,0.024,1,"hmVEC"
"maea",0.0260065505457046,0.158232822058497,0.091,0.055,1,"hmVEC"
"thtpa",0.0260178161571316,-0.00783564574702789,0.073,0.041,1,"hmVEC"
"gpr156",0.0260266073831853,0.104974217364037,0.119,0.076,1,"hmVEC"
"asrgl1",0.026062549779779,1.38374807930188,0.024,0.008,1,"hmVEC"
"atpaf2",0.0261847948846415,0.22292088546569,0.052,0.027,1,"hmVEC"
"krtt1c19e",0.0262619095951173,-1.12728894782466,0.149,0.181,1,"hmVEC"
"zmiz1a",0.0262706562215368,-0.00964802696530603,0.306,0.22,1,"hmVEC"
"MYADM",0.0263048430105799,-0.0434911353840582,0.206,0.143,1,"hmVEC"
"sec61a1",0.0263272780948953,0.0767728130425513,0.56,0.419,1,"hmVEC"
"gpr155a",0.0263438897321005,0.154766786657279,0.056,0.029,1,"hmVEC"
"smg6",0.0264063586058448,-0.113961907621927,0.183,0.123,1,"hmVEC"
"zgc:110339",0.0264192719143479,0.0113608847064451,0.466,0.338,1,"hmVEC"
"znf710a",0.0264202856991989,0.00459474090016787,0.093,0.056,1,"hmVEC"
"mta1",0.0265102944481643,0.0198991935782846,0.056,0.029,1,"hmVEC"
"CU464124.1",0.0265484432228189,1.31200560537266,0.024,0.008,1,"hmVEC"
"imp4",0.0266225050507207,0.269792722170331,0.083,0.049,1,"hmVEC"
"gypc",0.0266425892383286,-0.0257520907124937,0.171,0.115,1,"hmVEC"
"dennd5a",0.0266574760477475,1.06141642053773,0.024,0.008,1,"hmVEC"
"loxl3b",0.0267160907152938,0.0325749346865875,0.212,0.149,1,"hmVEC"
"pa2g4b",0.0267321486834532,0.0366675104272993,0.347,0.25,1,"hmVEC"
"ms4a17a.9",0.0267393555515543,0.141522380899359,0.597,0.454,1,"hmVEC"
"tmem203",0.026754154477818,0.0484184342363438,0.147,0.097,1,"hmVEC"
"zmym2",0.026766895410958,0.882775603759672,0.024,0.008,1,"hmVEC"
"ecm1b",0.026766895410958,0.994386633258125,0.024,0.008,1,"hmVEC"
"rnf185",0.0267806920243105,-0.0101013913555341,0.22,0.153,1,"hmVEC"
"osbpl9",0.0268570501096755,0.0757904982103095,0.093,0.056,1,"hmVEC"
"ikbip",0.0268664808469325,0.18453025940611,0.085,0.05,1,"hmVEC"
"agap3",0.0268767024028716,1.18351124524295,0.024,0.008,1,"hmVEC"
"ndfip1l",0.0269101302202312,-0.04981312720678,0.288,0.201,1,"hmVEC"
"lrba",0.0269394496598408,0.0793423216632281,0.173,0.119,1,"hmVEC"
"pald1a",0.0269928876429966,0.0966071877128856,0.089,0.053,1,"hmVEC"
"fbp1b",0.0269970442560001,-4.89496307715283,0,0.01,1,"hmVEC"
"ttbk2a",0.0269970442560001,-4.13246469520194,0,0.01,1,"hmVEC"
"si:ch211-39i2.2",0.0269970442560001,-4.07879234465754,0,0.01,1,"hmVEC"
"tnnt2a",0.0269970442560001,-5.50671362660877,0,0.01,1,"hmVEC"
"zgc:114104",0.0269970442560001,-4.57420645148236,0,0.01,1,"hmVEC"
"mybpc2b",0.0269970442560001,-4.38344605762132,0,0.01,1,"hmVEC"
"coro1cb",0.0270264439299121,0.0283488229570367,0.19,0.13,1,"hmVEC"
"rassf1",0.0271024054583782,0.0604134889811224,0.264,0.188,1,"hmVEC"
"tuba1c",0.0271279299532434,-0.0329379111844449,0.284,0.203,1,"hmVEC"
"stk24b",0.0271556664125197,-0.0736623189660603,0.097,0.059,1,"hmVEC"
"cox6b2",0.0271558519676002,0.0733446107165663,0.935,0.858,1,"hmVEC"
"ctnnb2",0.0271604153258443,0.0530714208201973,0.429,0.313,1,"hmVEC"
"irx3b",0.0271713803980012,-0.0246761776919301,0.232,0.164,1,"hmVEC"
"zbtb8b",0.0272084600832787,0.812591739103356,0.024,0.008,1,"hmVEC"
"hadh",0.0272429791795529,-0.00710931379321789,0.317,0.224,1,"hmVEC"
"plod3",0.0272659852966353,-0.00111153287522547,0.208,0.144,1,"hmVEC"
"trim3b",0.0272863881504717,0.350102921752928,0.073,0.042,1,"hmVEC"
"cavin2b",0.0272979801994457,-0.232633767676436,0.738,0.673,1,"hmVEC"
"kctd12.2",0.0273138765670832,-0.0245894490968757,0.198,0.137,1,"hmVEC"
"akap1b",0.027319828531853,0.928704132973085,0.024,0.008,1,"hmVEC"
